soil_type,crop_type,irrigation_type,acres,lat,lon,yield_per_acre,predicted_yield_per_acre,total_yield
saline,Wheat,sprinkler,10,20.3,85.8,2.85,2.85,28.5
saline,Wheat,canal,10,20.3,85.8,2.90,2.90,29.0
saline,Wheat,none,10,20.3,85.8,2.95,2.95,29.5
mixed,Wheat,drip,10,20.3,85.8,2.90,2.90,29.0
mixed,Wheat,sprinkler,10,20.3,85.8,2.95,2.95,29.5
mixed,Wheat,canal,10,20.3,85.8,3.00,3.00,30.0
mixed,Wheat,none,10,20.3,85.8,3.05,3.05,30.5
loamy,Rice,drip,10,20.3,85.8,2.20,2.20,22.0
loamy,Rice,sprinkler,10,20.3,85.8,2.25,2.25,22.5
loamy,Rice,canal,10,20.3,85.8,2.30,2.30,23.0
loamy,Rice,none,10,20.3,85.8,2.35,2.35,23.5
sandy,Rice,drip,10,20.3,85.8,2.30,2.30,23.0
sandy,Rice,sprinkler,10,20.3,85.8,2.35,2.35,23.5
sandy,Rice,canal,10,20.3,85.8,2.40,2.40,24.0
sandy,Rice,none,10,20.3,85.8,2.45,2.45,24.5
clay,Rice,drip,10,20.3,85.8,2.40,2.40,24.0
clay,Rice,sprinkler,10,20.3,85.8,2.45,2.45,24.5
clay,Rice,canal,10,20.3,85.8,2.50,2.50,25.0
clay,Rice,none,10,20.3,85.8,2.55,2.55,25.5
red,Rice,drip,10,20.3,85.8,2.50,2.50,25.0
red,Rice,sprinkler,10,20.3,85.8,2.55,2.55,25.5
red,Rice,canal,10,20.3,85.8,2.60,2.60,26.0
red,Rice,none,10,20.3,85.8,2.65,2.65,26.5
black,Rice,drip,10,20.3,85.8,2.60,2.60,26.0
black,Rice,sprinkler,10,20.3,85.8,2.65,2.65,26.5
black,Rice,canal,10,20.3,85.8,2.70,2.70,27.0
black,Rice,none,10,20.3,85.8,2.75,2.75,27.5
alluvial,Rice,drip,10,20.3,85.8,2.70,2.70,27.0
alluvial,Rice,sprinkler,10,20.3,85.8,2.75,2.75,27.5
alluvial,Rice,canal,10,20.3,85.8,2.80,2.80,28.0
alluvial,Rice,none,10,20.3,85.8,2.85,2.85,28.5
laterite,Rice,drip,10,20.3,85.8,2.80,2.80,28.0
laterite,Rice,sprinkler,10,20.3,85.8,2.85,2.85,28.5
laterite,Rice,canal,10,20.3,85.8,2.90,2.90,29.0
laterite,Rice,none,10,20.3,85.8,2.95,2.95,29.5
peaty,Rice,drip,10,20.3,85.8,2.90,2.90,29.0
peaty,Rice,sprinkler,10,20.3,85.8,2.95,2.95,29.5
peaty,Rice,canal,10,20.3,85.8,3.00,3.00,30.0
peaty,Rice,none,10,20.3,85.8,3.05,3.05,30.5
saline,Rice,drip,10,20.3,85.8,3.00,3.00,30.0
saline,Rice,sprinkler,10,20.3,85.8,3.05,3.05,30.5
saline,Rice,canal,10,20.3,85.8,3.10,3.10,31.0
saline,Rice,none,10,20.3,85.8,3.15,3.15,31.5
mixed,Rice,drip,10,20.3,85.8,3.10,3.10,31.0
mixed,Rice,sprinkler,10,20.3,85.8,3.15,3.15,31.5
mixed,Rice,canal,10,20.3,85.8,3.20,3.20,32.0
mixed,Rice,none,10,20.3,85.8,3.25,3.25,32.5
loamy,Peanuts,drip,10,20.3,85.8,2.40,2.40,24.0
loamy,Peanuts,sprinkler,10,20.3,85.8,2.45,2.45,24.5
loamy,Peanuts,canal,10,20.3,85.8,2.50,2.50,25.0
loamy,Peanuts,none,10,20.3,85.8,2.55,2.55,25.5
sandy,Peanuts,drip,10,20.3,85.8,2.50,2.50,25.0
sandy,Peanuts,sprinkler,10,20.3,85.8,2.55,2.55,25.5
sandy,Peanuts,canal,10,20.3,85.8,2.60,2.60,26.0
sandy,Peanuts,none,10,20.3,85.8,2.65,2.65,26.5
clay,Peanuts,drip,10,20.3,85.8,2.60,2.60,26.0
clay,Peanuts,sprinkler,10,20.3,85.8,2.65,2.65,26.5
clay,Peanuts,canal,10,20.3,85.8,2.70,2.70,27.0
clay,Peanuts,none,10,20.3,85.8,2.75,2.75,27.5
red,Peanuts,drip,10,20.3,85.8,2.70,2.70,27.0
red,Peanuts,sprinkler,10,20.3,85.8,2.75,2.75,27.5
red,Peanuts,canal,10,20.3,85.8,2.80,2.80,28.0
red,Peanuts,none,10,20.3,85.8,2.85,2.85,28.5
black,Peanuts,drip,10,20.3,85.8,2.80,2.80,28.0
black,Peanuts,sprinkler,10,20.3,85.8,2.85,2.85,28.5
black,Peanuts,canal,10,20.3,85.8,2.90,2.90,29.0
black,Peanuts,none,10,20.3,85.8,2.95,2.95,29.5
alluvial,Peanuts,drip,10,20.3,85.8,2.90,2.90,29.0
alluvial,Peanuts,sprinkler,10,20.3,85.8,2.95,2.95,29.5
alluvial,Peanuts,canal,10,20.3,85.8,3.00,3.00,30.0
alluvial,Peanuts,none,10,20.3,85.8,3.05,3.05,30.5
laterite,Peanuts,drip,10,20.3,85.8,3.00,3.00,30.0
laterite,Peanuts,sprinkler,10,20.3,85.8,3.05,3.05,30.5
laterite,Peanuts,canal,10,20.3,85.8,3.10,3.10,31.0
laterite,Peanuts,none,10,20.3,85.8,3.15,3.15,31.5
peaty,Peanuts,drip,10,20.3,85.8,3.10,3.10,31.0
peaty,Peanuts,sprinkler,10,20.3,85.8,3.15,3.15,31.5
peaty,Peanuts,canal,10,20.3,85.8,3.20,3.20,32.0
peaty,Peanuts,none,10,20.3,85.8,3.25,3.25,32.5
saline,Peanuts,drip,10,20.3,85.8,3.20,3.20,32.0
saline,Peanuts,sprinkler,10,20.3,85.8,3.25,3.25,32.5
saline,Peanuts,canal,10,20.3,85.8,3.30,3.30,33.0
saline,Peanuts,none,10,20.3,85.8,3.35,3.35,33.5
mixed,Peanuts,drip,10,20.3,85.8,3.30,3.30,33.0
mixed,Peanuts,sprinkler,10,20.3,85.8,3.35,3.35,33.5
mixed,Peanuts,canal,10,20.3,85.8,3.40,3.40,34.0
mixed,Peanuts,none,10,20.3,85.8,3.45,3.45,34.5
loamy,Cotton,drip,10,20.3,85.8,2.60,2.60,26.0
loamy,Cotton,sprinkler,10,20.3,85.8,2.65,2.65,26.5
loamy,Cotton,canal,10,20.3,85.8,2.70,2.70,27.0
loamy,Cotton,none,10,20.3,85.8,2.75,2.75,27.5
sandy,Cotton,drip,10,20.3,85.8,2.70,2.70,27.0
sandy,Cotton,sprinkler,10,20.3,85.8,2.75,2.75,27.5
sandy,Cotton,canal,10,20.3,85.8,2.80,2.80,28.0
sandy,Cotton,none,10,20.3,85.8,2.85,2.85,28.5
clay,Cotton,drip,10,20.3,85.8,2.80,2.80,28.0
clay,Cotton,sprinkler,10,20.3,85.8,2.85,2.85,28.5
clay,Cotton,canal,10,20.3,85.8,2.90,2.90,29.0
clay,Cotton,none,10,20.3,85.8,2.95,2.95,29.5
red,Cotton,drip,10,20.3,85.8,2.90,2.90,29.0
red,Cotton,sprinkler,10,20.3,85.8,2.95,2.95,29.5
red,Cotton,canal,10,20.3,85.8,3.00,3.00,30.0
red,Cotton,none,10,20.3,85.8,3.05,3.05,30.5
black,Cotton,drip,10,20.3,85.8,3.00,3.00,30.0
black,Cotton,sprinkler,10,20.3,85.8,3.05,3.05,30.5
black,Cotton,canal,10,20.3,85.8,3.10,3.10,31.0
black,Cotton,none,10,20.3,85.8,3.15,3.15,31.5
alluvial,Cotton,drip,10,20.3,85.8,3.10,3.10,31.0
alluvial,Cotton,sprinkler,10,20.3,85.8,3.15,3.15,31.5
alluvial,Cotton,canal,10,20.3,85.8,3.20,3.20,32.0
alluvial,Cotton,none,10,20.3,85.8,3.25,3.25,32.5
laterite,Cotton,drip,10,20.3,85.8,3.20,3.20,32.0
laterite,Cotton,sprinkler,10,20.3,85.8,3.25,3.25,32.5
laterite,Cotton,canal,10,20.3,85.8,3.30,3.30,33.0
laterite,Cotton,none,10,20.3,85.8,3.35,3.35,33.5
peaty,Cotton,drip,10,20.3,85.8,3.30,3.30,33.0
peaty,Cotton,sprinkler,10,20.3,85.8,3.35,3.35,33.5
peaty,Cotton,canal,10,20.3,85.8,3.40,3.40,34.0
peaty,Cotton,none,10,20.3,85.8,3.45,3.45,34.5
saline,Cotton,drip,10,20.3,85.8,3.40,3.40,34.0
saline,Cotton,sprinkler,10,20.3,85.8,3.45,3.45,34.5
saline,Cotton,canal,10,20.3,85.8,3.50,3.50,35.0
saline,Cotton,none,10,20.3,85.8,3.55,3.55,35.5
mixed,Cotton,drip,10,20.3,85.8,3.50,3.50,35.0
mixed,Cotton,sprinkler,10,20.3,85.8,3.55,3.55,35.5
mixed,Cotton,canal,10,20.3,85.8,3.60,3.60,36.0
mixed,Cotton,none,10,20.3,85.8,3.65,3.65,36.5
loamy,Sugarcane,drip,10,20.3,85.8,2.80,2.80,28.0
loamy,Sugarcane,sprinkler,10,20.3,85.8,2.85,2.85,28.5
loamy,Sugarcane,canal,10,20.3,85.8,2.90,2.90,29.0
loamy,Sugarcane,none,10,20.3,85.8,2.95,2.95,29.5
sandy,Sugarcane,drip,10,20.3,85.8,2.90,2.90,29.0
sandy,Sugarcane,sprinkler,10,20.3,85.8,2.95,2.95,29.5
sandy,Sugarcane,canal,10,20.3,85.8,3.00,3.00,30.0
sandy,Sugarcane,none,10,20.3,85.8,3.05,3.05,30.5
clay,Sugarcane,drip,10,20.3,85.8,3.00,3.00,30.0
clay,Sugarcane,sprinkler,10,20.3,85.8,3.05,3.05,30.5
clay,Sugarcane,canal,10,20.3,85.8,3.10,3.10,31.0
clay,Sugarcane,none,10,20.3,85.8,3.15,3.15,31.5
red,Sugarcane,drip,10,20.3,85.8,3.10,3.10,31.0
red,Sugarcane,sprinkler,10,20.3,85.8,3.15,3.15,31.5
red,Sugarcane,canal,10,20.3,85.8,3.20,3.20,32.0
red,Sugarcane,none,10,20.3,85.8,3.25,3.25,32.5
black,Sugarcane,drip,10,20.3,85.8,3.20,3.20,32.0
black,Sugarcane,sprinkler,10,20.3,85.8,3.25,3.25,32.5
black,Sugarcane,canal,10,20.3,85.8,3.30,3.30,33.0
black,Sugarcane,none,10,20.3,85.8,3.35,3.35,33.5
alluvial,Sugarcane,drip,10,20.3,85.8,3.30,3.30,33.0
alluvial,Sugarcane,sprinkler,10,20.3,85.8,3.35,3.35,33.5
alluvial,Sugarcane,canal,10,20.3,85.8,3.40,3.40,34.0
alluvial,Sugarcane,none,10,20.3,85.8,3.45,3.45,34.5
laterite,Sugarcane,drip,10,20.3,85.8,3.40,3.40,34.0
laterite,Sugarcane,sprinkler,10,20.3,85.8,3.45,3.45,34.5
laterite,Sugarcane,canal,10,20.3,85.8,3.50,3.50,35.0
laterite,Sugarcane,none,10,20.3,85.8,3.55,3.55,35.5
peaty,Sugarcane,drip,10,20.3,85.8,3.50,3.50,35.0
peaty,Sugarcane,sprinkler,10,20.3,85.8,3.55,3.55,35.5
peaty,Sugarcane,canal,10,20.3,85.8,3.60,3.60,36.0
peaty,Sugarcane,none,10,20.3,85.8,3.65,3.65,36.5
saline,Sugarcane,drip,10,20.3,85.8,3.60,3.60,36.0
saline,Sugarcane,sprinkler,10,20.3,85.8,3.65,3.65,36.5
saline,Sugarcane,canal,10,20.3,85.8,3.70,3.70,37.0
saline,Sugarcane,none,10,20.3,85.8,3.75,3.75,37.5
mixed,Sugarcane,drip,10,20.3,85.8,3.70,3.70,37.0
mixed,Sugarcane,sprinkler,10,20.3,85.8,3.75,3.75,37.5
mixed,Sugarcane,canal,10,20.3,85.8,3.80,3.80,38.0
mixed,Sugarcane,none,10,20.3,85.8,3.85,3.85,38.5
loamy,Vegetables,drip,10,20.3,85.8,3.00,3.00,30.0
loamy,Vegetables,sprinkler,10,20.3,85.8,3.05,3.05,30.5
loamy,Vegetables,canal,10,20.3,85.8,3.10,3.10,31.0
loamy,Vegetables,none,10,20.3,85.8,3.15,3.15,31.5
sandy,Vegetables,drip,10,20.3,85.8,3.10,3.10,31.0
sandy,Vegetables,sprinkler,10,20.3,85.8,3.15,3.15,31.5
sandy,Vegetables,canal,10,20.3,85.8,3.20,3.20,32.0
sandy,Vegetables,none,10,20.3,85.8,3.25,3.25,32.5
clay,Vegetables,drip,10,20.3,85.8,3.20,3.20,32.0
clay,Vegetables,sprinkler,10,20.3,85.8,3.25,3.25,32.5
clay,Vegetables,canal,10,20.3,85.8,3.30,3.30,33.0
clay,Vegetables,none,10,20.3,85.8,3.35,3.35,33.5
red,Vegetables,drip,10,20.3,85.8,3.30,3.30,33.0
red,Vegetables,sprinkler,10,20.3,85.8,3.35,3.35,33.5
red,Vegetables,canal,10,20.3,85.8,3.40,3.40,34.0
red,Vegetables,none,10,20.3,85.8,3.45,3.45,34.5
black,Vegetables,drip,10,20.3,85.8,3.40,3.40,34.0
black,Vegetables,sprinkler,10,20.3,85.8,3.45,3.45,34.5
black,Vegetables,canal,10,20.3,85.8,3.50,3.50,35.0
black,Vegetables,none,10,20.3,85.8,3.55,3.55,35.5
alluvial,Vegetables,drip,10,20.3,85.8,3.50,3.50,35.0
alluvial,Vegetables,sprinkler,10,20.3,85.8,3.55,3.55,35.5
alluvial,Vegetables,canal,10,20.3,85.8,3.60,3.60,36.0
alluvial,Vegetables,none,10,20.3,85.8,3.65,3.65,36.5
laterite,Vegetables,drip,10,20.3,85.8,3.60,3.60,36.0
laterite,Vegetables,sprinkler,10,20.3,85.8,3.65,3.65,36.5
laterite,Vegetables,canal,10,20.3,85.8,3.70,3.70,37.0
laterite,Vegetables,none,10,20.3,85.8,3.75,3.75,37.5
peaty,Vegetables,drip,10,20.3,85.8,3.70,3.70,37.0
peaty,Vegetables,sprinkler,10,20.3,85.8,3.75,3.75,37.5
peaty,Vegetables,canal,10,20.3,85.8,3.80,3.80,38.0
peaty,Vegetables,none,10,20.3,85.8,3.85,3.85,38.5
saline,Vegetables,drip,10,20.3,85.8,3.80,3.80,38.0
saline,Vegetables,sprinkler,10,20.3,85.8,3.85,3.85,38.5
saline,Vegetables,canal,10,20.3,85.8,3.90,3.90,39.0
saline,Vegetables,none,10,20.3,85.8,3.95,3.95,39.5
mixed,Vegetables,drip,10,20.3,85.8,3.90,3.90,39.0
mixed,Vegetables,sprinkler,10,20.3,85.8,3.95,3.95,39.5
mixed,Vegetables,canal,10,20.3,85.8,4.00,4.00,40.0
mixed,Vegetables,none,10,20.3,85.8,4.05,4.05,40.5
loamy,Millets,drip,10,20.3,85.8,3.20,3.20,32.0
loamy,Millets,sprinkler,10,20.3,85.8,3.25,3.25,32.5
loamy,Millets,canal,10,20.3,85.8,3.30,3.30,33.0
loamy,Millets,none,10,20.3,85.8,3.35,3.35,33.5
sandy,Millets,drip,10,20.3,85.8,3.30,3.30,33.0
sandy,Millets,sprinkler,10,20.3,85.8,3.35,3.35,33.5
sandy,Millets,canal,10,20.3,85.8,3.40,3.40,34.0
sandy,Millets,none,10,20.3,85.8,3.45,3.45,34.5
clay,Millets,drip,10,20.3,85.8,3.40,3.40,34.0
clay,Millets,sprinkler,10,20.3,85.8,3.45,3.45,34.5
clay,Millets,canal,10,20.3,85.8,3.50,3.50,35.0
clay,Millets,none,10,20.3,85.8,3.55,3.55,35.5
red,Millets,drip,10,20.3,85.8,3.50,3.50,35.0
red,Millets,sprinkler,10,20.3,85.8,3.55,3.55,35.5
red,Millets,canal,10,20.3,85.8,3.60,3.60,36.0
red,Millets,none,10,20.3,85.8,3.65,3.65,36.5
black,Millets,drip,10,20.3,85.8,3.60,3.60,36.0
black,Millets,sprinkler,10,20.3,85.8,3.65,3.65,36.5
black,Millets,canal,10,20.3,85.8,3.70,3.70,37.0
black,Millets,none,10,20.3,85.8,3.75,3.75,37.5
alluvial,Millets,drip,10,20.3,85.8,3.70,3.70,37.0
alluvial,Millets,sprinkler,10,20.3,85.8,3.75,3.75,37.5
alluvial,Millets,canal,10,20.3,85.8,3.80,3.80,38.0
alluvial,Millets,none,10,20.3,85.8,3.85,3.85,38.5
laterite,Millets,drip,10,20.3,85.8,3.80,3.80,38.0
laterite,Millets,sprinkler,10,20.3,85.8,3.85,3.85,38.5
laterite,Millets,canal,10,20.3,85.8,3.90,3.90,39.0
laterite,Millets,none,10,20.3,85.8,3.95,3.95,39.5
peaty,Millets,drip,10,20.3,85.8,3.90,3.90,39.0
peaty,Millets,sprinkler,10,20.3,85.8,3.95,3.95,39.5
peaty,Millets,canal,10,20.3,85.8,4.00,4.00,40.0
peaty,Millets,none,10,20.3,85.8,4.05,4.05,40.5
saline,Millets,drip,10,20.3,85.8,4.00,4.00,40.0
saline,Millets,sprinkler,10,20.3,85.8,4.05,4.05,40.5
saline,Millets,canal,10,20.3,85.8,4.10,4.10,41.0
saline,Millets,none,10,20.3,85.8,4.15,4.15,41.5
mixed,Millets,drip,10,20.3,85.8,4.10,4.10,41.0
mixed,Millets,sprinkler,10,20.3,85.8,4.15,4.15,41.5
mixed,Millets,canal,10,20.3,85.8,4.20,4.20,42.0
mixed,Millets,none,10,20.3,85.8,4.25,4.25,42.5
loamy,Cashew,drip,10,20.3,85.8,3.40,3.40,34.0
loamy,Cashew,sprinkler,10,20.3,85.8,3.45,3.45,34.5
loamy,Cashew,canal,10,20.3,85.8,3.50,3.50,35.0
loamy,Cashew,none,10,20.3,85.8,3.55,3.55,35.5
sandy,Cashew,drip,10,20.3,85.8,3.50,3.50,35.0
sandy,Cashew,sprinkler,10,20.3,85.8,3.55,3.55,35.5
sandy,Cashew,canal,10,20.3,85.8,3.60,3.60,36.0
sandy,Cashew,none,10,20.3,85.8,3.65,3.65,36.5
clay,Cashew,drip,10,20.3,85.8,3.60,3.60,36.0
clay,Cashew,sprinkler,10,20.3,85.8,3.65,3.65,36.5
clay,Cashew,canal,10,20.3,85.8,3.70,3.70,37.0
clay,Cashew,none,10,20.3,85.8,3.75,3.75,37.5
red,Cashew,drip,10,20.3,85.8,3.70,3.70,37.0
red,Cashew,sprinkler,10,20.3,85.8,3.75,3.75,37.5
red,Cashew,canal,10,20.3,85.8,3.80,3.80,38.0
red,Cashew,none,10,20.3,85.8,3.85,3.85,38.5
black,Cashew,drip,10,20.3,85.8,3.80,3.80,38.0
black,Cashew,sprinkler,10,20.3,85.8,3.85,3.85,38.5
black,Cashew,canal,10,20.3,85.8,3.90,3.90,39.0
black,Cashew,none,10,20.3,85.8,3.95,3.95,39.5
alluvial,Cashew,drip,10,20.3,85.8,3.90,3.90,39.0
alluvial,Cashew,sprinkler,10,20.3,85.8,3.95,3.95,39.5
alluvial,Cashew,canal,10,20.3,85.8,4.00,4.00,40.0
alluvial,Cashew,none,10,20.3,85.8,4.05,4.05,40.5
laterite,Cashew,drip,10,20.3,85.8,4.00,4.00,40.0
laterite,Cashew,sprinkler,10,20.3,85.8,4.05,4.05,40.5
laterite,Cashew,canal,10,20.3,85.8,4.10,4.10,41.0
laterite,Cashew,none,10,20.3,85.8,4.15,4.15,41.5
peaty,Cashew,drip,10,20.3,85.8,4.10,4.10,41.0
peaty,Cashew,sprinkler,10,20.3,85.8,4.15,4.15,41.5
peaty,Cashew,canal,10,20.3,85.8,4.20,4.20,42.0
peaty,Cashew,none,10,20.3,85.8,4.25,4.25,42.5
saline,Cashew,drip,10,20.3,85.8,4.20,4.20,42.0
saline,Cashew,sprinkler,10,20.3,85.8,4.25,4.25,42.5
saline,Cashew,canal,10,20.3,85.8,4.30,4.30,43.0
saline,Cashew,none,10,20.3,85.8,4.35,4.35,43.5
mixed,Cashew,drip,10,20.3,85.8,4.30,4.30,43.0
mixed,Cashew,sprinkler,10,20.3,85.8,4.35,4.35,43.5
mixed,Cashew,canal,10,20.3,85.8,4.40,4.40,44.0
mixed,Cashew,none,10,20.3,85.8,4.45,4.45,44.5
loamy,Potatoes,drip,10,20.3,85.8,3.60,3.60,36.0
loamy,Potatoes,sprinkler,10,20.3,85.8,3.65,3.65,36.5
loamy,Potatoes,canal,10,20.3,85.8,3.70,3.70,37.0
loamy,Potatoes,none,10,20.3,85.8,3.75,3.75,37.5
sandy,Potatoes,drip,10,20.3,85.8,3.70,3.70,37.0
sandy,Potatoes,sprinkler,10,20.3,85.8,3.75,3.75,37.5
sandy,Potatoes,canal,10,20.3,85.8,3.80,3.80,38.0
sandy,Potatoes,none,10,20.3,85.8,3.85,3.85,38.5
clay,Potatoes,drip,10,20.3,85.8,3.80,3.80,38.0
clay,Potatoes,sprinkler,10,20.3,85.8,3.85,3.85,38.5
clay,Potatoes,canal,10,20.3,85.8,3.90,3.90,39.0
clay,Potatoes,none,10,20.3,85.8,3.95,3.95,39.5
red,Potatoes,drip,10,20.3,85.8,3.90,3.90,39.0
red,Potatoes,sprinkler,10,20.3,85.8,3.95,3.95,39.5
red,Potatoes,canal,10,20.3,85.8,4.00,4.00,40.0
red,Potatoes,none,10,20.3,85.8,4.05,4.05,40.5
black,Potatoes,drip,10,20.3,85.8,4.00,4.00,40.0
black,Potatoes,sprinkler,10,20.3,85.8,4.05,4.05,40.5
black,Potatoes,canal,10,20.3,85.8,4.10,4.10,41.0
black,Potatoes,none,10,20.3,85.8,4.15,4.15,41.5
alluvial,Potatoes,drip,10,20.3,85.8,4.10,4.10,41.0
alluvial,Potatoes,sprinkler,10,20.3,85.8,4.15,4.15,41.5
alluvial,Potatoes,canal,10,20.3,85.8,4.20,4.20,42.0
alluvial,Potatoes,none,10,20.3,85.8,4.25,4.25,42.5
laterite,Potatoes,drip,10,20.3,85.8,4.20,4.20,42.0
laterite,Potatoes,sprinkler,10,20.3,85.8,4.25,4.25,42.5
laterite,Potatoes,canal,10,20.3,85.8,4.30,4.30,43.0
laterite,Potatoes,none,10,20.3,85.8,4.35,4.35,43.5
peaty,Potatoes,drip,10,20.3,85.8,4.30,4.30,43.0
peaty,Potatoes,sprinkler,10,20.3,85.8,4.35,4.35,43.5
peaty,Potatoes,canal,10,20.3,85.8,4.40,4.40,44.0
peaty,Potatoes,none,10,20.3,85.8,4.45,4.45,44.5
saline,Potatoes,drip,10,20.3,85.8,4.40,4.40,44.0
saline,Potatoes,sprinkler,10,20.3,85.8,4.45,4.45,44.5
saline,Potatoes,canal,10,20.3,85.8,4.50,4.50,45.0
saline,Potatoes,none,10,20.3,85.8,4.55,4.55,45.5
mixed,Potatoes,drip,10,20.3,85.8,4.50,4.50,45.0
mixed,Potatoes,sprinkler,10,20.3,85.8,4.55,4.55,45.5
mixed,Potatoes,canal,10,20.3,85.8,4.60,4.60,46.0
mixed,Potatoes,none,10,20.3,85.8,4.65,4.65,46.5
loamy,Barley,drip,10,20.3,85.8,3.80,3.80,38.0
loamy,Barley,sprinkler,10,20.3,85.8,3.85,3.85,38.5
loamy,Barley,canal,10,20.3,85.8,3.90,3.90,39.0
loamy,Barley,none,10,20.3,85.8,3.95,3.95,39.5
sandy,Barley,drip,10,20.3,85.8,3.90,3.90,39.0
sandy,Barley,sprinkler,10,20.3,85.8,3.95,3.95,39.5
sandy,Barley,canal,10,20.3,85.8,4.00,4.00,40.0
sandy,Barley,none,10,20.3,85.8,4.05,4.05,40.5
clay,Barley,drip,10,20.3,85.8,4.00,4.00,40.0
clay,Barley,sprinkler,10,20.3,85.8,4.05,4.05,40.5
clay,Barley,canal,10,20.3,85.8,4.10,4.10,41.0
clay,Barley,none,10,20.3,85.8,4.15,4.15,41.5
red,Barley,drip,10,20.3,85.8,4.10,4.10,41.0
red,Barley,sprinkler,10,20.3,85.8,4.15,4.15,41.5
red,Barley,canal,10,20.3,85.8,4.20,4.20,42.0
red,Barley,none,10,20.3,85.8,4.25,4.25,42.5
black,Barley,drip,10,20.3,85.8,4.20,4.20,42.0
black,Barley,sprinkler,10,20.3,85.8,4.25,4.25,42.5
black,Barley,canal,10,20.3,85.8,4.30,4.30,43.0
black,Barley,none,10,20.3,85.8,4.35,4.35,43.5
alluvial,Barley,drip,10,20.3,85.8,4.30,4.30,43.0
alluvial,Barley,sprinkler,10,20.3,85.8,4.35,4.35,43.5
alluvial,Barley,canal,10,20.3,85.8,4.40,4.40,44.0
alluvial,Barley,none,10,20.3,85.8,4.45,4.45,44.5
laterite,Barley,drip,10,20.3,85.8,4.40,4.40,44.0
laterite,Barley,sprinkler,10,20.3,85.8,4.45,4.45,44.5
laterite,Barley,canal,10,20.3,85.8,4.50,4.50,45.0
laterite,Barley,none,10,20.3,85.8,4.55,4.55,45.5
peaty,Barley,drip,10,20.3,85.8,4.50,4.50,45.0
peaty,Barley,sprinkler,10,20.3,85.8,4.55,4.55,45.5
peaty,Barley,canal,10,20.3,85.8,4.60,4.60,46.0
peaty,Barley,none,10,20.3,85.8,4.65,4.65,46.5
saline,Barley,drip,10,20.3,85.8,4.60,4.60,46.0
saline,Barley,sprinkler,10,20.3,85.8,4.65,4.65,46.5
saline,Barley,canal,10,20.3,85.8,4.70,4.70,47.0
saline,Barley,none,10,20.3,85.8,4.75,4.75,47.5
mixed,Barley,drip,10,20.3,85.8,4.70,4.70,47.0
mixed,Barley,sprinkler,10,20.3,85.8,4.75,4.75,47.5
mixed,Barley,canal,10,20.3,85.8,4.80,4.80,48.0
mixed,Barley,none,10,20.3,85.8,4.85,4.85,48.5
loamy,Pulses,drip,10,20.3,85.8,4.00,4.00,40.0
loamy,Pulses,sprinkler,10,20.3,85.8,4.05,4.05,40.5
loamy,Pulses,canal,10,20.3,85.8,4.10,4.10,41.0
loamy,Pulses,none,10,20.3,85.8,4.15,4.15,41.5
sandy,Pulses,drip,10,20.3,85.8,4.10,4.10,41.0
sandy,Pulses,sprinkler,10,20.3,85.8,4.15,4.15,41.5
